Country,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,Latitude,Longitude
Afghanistan,223175,153899577,7928,6294821,33.7680065,66.2385139
Albania,334090,221742640,3604,2878307,41.000028,19.9999619
Algeria,271847,212629366,6881,5656884,28.0000272,2.9999825
American Samoa,8332,3551635,34,14618,-11.053002,-171.081703
Andorra,48015,29836693,159,144217,40.9753365,-0.4442782
Angola,105384,71691610,1934,1444781,-11.8775768,17.5691241
Anguilla,3904,2011968,12,5981,18.1954947,-63.0750234
Antigua and Barbuda,9106,5310142,146,96347,17.2234721,-61.9554608
Argentina,10044957,6785118948,130472,109178966,-34.9964963,-64.9672817
Armenia,449233,335258512,8751,6675174,4.536307,-75.6723751
Aruba,44200,26823640,290,179236,12.517399,-69.972795
Australia,11495207,4617950987,21685,8201569,-24.7761086,134.755
Austria,6080914,2874570178,22534,16162541,47.59397,14.12456
Azerbaijan,831938,584758660,10282,7378482,40.3936294,47.7872508
Bahamas,38084,25690725,844,589532,24.7736546,-78.0000547
Bahrain,696614,433526698,1536,1235245,26.1551249,50.5344606
Bangladesh,2042422,1535689903,29462,23366383,24.4769288,90.2934413
Barbados,107794,51398769,593,298291,13.1500331,-59.5250305
Belarus,994037,703047310,7118,5137719,53.4250605,27.6971358
Belgium,4801523,2813105154,34372,29593258,50.6402809,4.6667145
Belize,70782,41897395,688,515242,16.8259793,-88.7600927
Benin,28014,20019806,163,137108,9.5293472,2.2584408
Bermuda,18860,10025026,165,97330,32.30382,-64.7561647
Bhutan,62673,29296556,21,10544,27.549511,90.5119273
Bolivia (Plurinational State of),1202710,736634500,22390,18839394,-17.0568696,-64.9912286
Bonaire,9864,5369977,33,22169,12.167,-68.28764385602938
Bosnia and Herzegovina,403043,292039240,16350,12147132,44.3053476,17.5961467
Botswana,330008,209950044,2797,1987256,-23.1681782,24.5928742
Brazil,37656050,25258981152,703719,564464989,-10.3333333,-53.2
British Virgin Islands,7305,4249576,64,40215,18.4024395,-64.5661642
Brunei Darussalam,308777,113604989,161,75152,4.4137155,114.5653908
Bulgaria,1297994,819919449,38354,26967112,42.6073975,25.4856617
Burkina Faso,22056,17028469,396,290702,12.0753083,-1.6880314
Burundi,54142,29268818,15,11505,-3.426449,29.9324519
Cabo Verde,63985,44543380,414,327606,16.0000552,-24.0083947
Cambodia,138896,94845363,3056,2084041,12.5433216,104.8144914
Cameroon,125084,97914899,1974,1587999,4.6125522,13.1535811
Canada,4688830,2759356530,52860,35573458,61.0666922,-107.991707
Cayman Islands,31472,15455479,37,17894,19.703182249999998,-79.9174627243246
Central African Republic,15367,12750718,113,105458,7.0323598,19.9981227
Chad,7698,6054552,194,184537,15.6134137,19.0156172
Chile,5288023,2932201513,61566,44994754,-31.7613365,-71.3187697
China,99289096,20054618619,121465,31408921,35.000074,104.999927
Colombia,6372392,4909188470,142807,116253812,4.099917,-72.9088133
Comoros,9109,6120678,160,138325,-12.2045176,44.2832964
Congo,25196,18986588,389,295323,-2.9814344,23.8222636
Cook Islands,7144,2889574,2,600,-19.99697155,-157.78587140620786
